Strategy,Final Value,Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Ticker
Enhanced DCA,39358.59,206.33,8.31,0.37,69.21,A
DCA,37564.82,201.66,8.12,0.36,69.21,A
Weighted DCA,28529.94,174.15,6.97,0.33,77.65,A
Weighted DCA,126991.34,323.47,5.21,0.27,94.43,AA
Enhanced DCA,122626.42,319.97,5.15,0.27,94.43,AA
DCA,121819.64,319.31,5.14,0.27,94.43,AA
Weighted DCA,13393.71,98.53,14.83,0.78,21.15,AAAU
DCA,12652.4,92.84,13.91,0.73,20.94,AAAU
Enhanced DCA,12314.18,90.13,13.48,0.71,20.66,AAAU
Weighted DCA,5006.25,0.12,0.25,0.0,0.08,AACB
DCA,5004.62,0.09,0.18,0.0,0.06,AACB
Enhanced DCA,5002.52,0.05,0.1,0.0,0.03,AACB
Weighted DCA,5014.92,0.3,0.46,0.0,1.43,AACBU
DCA,5010.73,0.21,0.33,0.0,1.02,AACBU
Enhanced DCA,5006.27,0.13,0.19,0.0,0.66,AACBU
DCA,17524.15,125.41,7.36,0.32,96.5,AACG
Enhanced DCA,16906.35,121.83,7.14,0.32,96.5,AACG
Weighted DCA,14680.96,107.71,6.29,0.3,96.5,AACG
Weighted DCA,5016.53,0.33,1.13,0.0,0.08,AACI
DCA,5012.75,0.25,0.87,0.0,0.06,AACI
Enhanced DCA,5009.83,0.2,0.67,0.0,0.05,AACI
Weighted DCA,5017.09,0.34,0.9,0.0,0.26,AACIU
DCA,5012.9,0.26,0.68,0.0,0.19,AACIU
Enhanced DCA,5007.11,0.14,0.37,0.0,0.11,AACIU
Enhanced DCA,4748.21,-5.17,-2.24,-0.84,9.9,AACT
DCA,4576.31,-8.85,-3.81,-0.7,16.76,AACT
Weighted DCA,4415.17,-12.44,-5.31,-0.65,22.92,AACT
Enhanced DCA,176.98,-334.12,-22.66,0.4,99.98,AAGH
DCA,168.22,-339.19,-22.96,0.4,99.98,AAGH
Weighted DCA,146.91,-352.74,-23.76,0.4,99.98,AAGH
DCA,4246.27,-16.34,-0.81,0.18,89.21,AAL
Enhanced DCA,4044.17,-21.22,-1.06,0.18,89.32,AAL
Weighted DCA,1768.67,-103.92,-5.06,0.14,96.2,AAL
Weighted DCA,5059.56,1.18,1.13,-0.76,0.42,AAM
DCA,5041.77,0.83,0.79,-1.56,0.29,AAM
Enhanced DCA,5023.76,0.47,0.45,-3.59,0.16,AAM
Weighted DCA,5073.49,1.46,1.25,-0.46,2.84,AAM-UN
DCA,5050.34,1.0,0.86,-1.27,2.02,AAM-UN
Enhanced DCA,5031.61,0.63,0.54,-2.76,1.14,AAM-UN
Weighted DCA,3551.43,-34.21,-0.75,0.14,97.2,AAME
Enhanced DCA,3391.37,-38.82,-0.85,0.14,97.23,AAME
DCA,3356.97,-39.84,-0.87,0.14,97.23,AAME
Enhanced DCA,16226.88,117.72,11.33,0.4,78.04,AAMI
DCA,16221.44,117.69,11.32,0.4,78.24,AAMI
Weighted DCA,16158.06,117.3,11.28,0.4,78.19,AAMI
DCA,15260.08,111.58,7.26,0.38,99.12,AAMTF
Enhanced DCA,15204.2,111.21,7.23,0.38,99.2,AAMTF
Weighted DCA,14522.66,106.63,6.93,0.38,99.27,AAMTF
DCA,10320.94,72.47,6.22,0.27,98.49,AAOI
Weighted DCA,10164.7,70.95,6.09,0.27,98.49,AAOI
Enhanced DCA,10099.7,70.31,6.03,0.27,98.49,AAOI
Weighted DCA,1857288.95,591.74,19.79,0.66,72.35,AAON
DCA,1811064.49,589.22,19.7,0.66,67.92,AAON
Enhanced DCA,1668658.2,581.03,19.4,0.65,65.42,AAON
Weighted DCA,18417.81,130.39,5.63,0.3,86.41,AAP
DCA,16711.59,120.67,5.2,0.29,86.41,AAP
Enhanced DCA,16055.06,116.66,5.02,0.28,86.41,AAP
Weighted DCA,5687.27,12.88,20.13,0.0,8.92,AAPG
DCA,5505.76,9.64,14.7,0.0,6.82,AAPG
Enhanced DCA,5324.27,6.28,9.36,0.0,4.59,AAPG
Weighted DCA,206.26,-318.81,-12.77,0.17,99.9,AAPI
Enhanced DCA,191.85,-326.05,-13.04,0.16,99.91,AAPI
DCA,165.96,-340.55,-13.58,0.15,99.91,AAPI
Weighted DCA,17769860.51,817.58,20.01,0.52,81.8,AAPL
Enhanced DCA,16103847.02,807.74,19.75,0.51,81.8,AAPL
DCA,16012082.35,807.17,19.73,0.51,81.8,AAPL
Weighted DCA,9693.28,66.2,18.23,0.4,72.39,AAQL
Enhanced DCA,9144.61,60.37,16.5,0.39,72.13,AAQL
DCA,7796.2,44.42,11.89,0.35,71.87,AAQL
Weighted DCA,5947.61,17.36,30.78,0.0,14.43,AARD
Enhanced DCA,5730.2,13.63,23.46,0.0,10.65,AARD
DCA,5666.81,12.52,21.35,0.0,10.43,AARD
DCA,96776.96,296.3,15.51,0.36,98.0,AASP
Enhanced DCA,96241.98,295.74,15.48,0.36,97.99,AASP
Weighted DCA,91496.18,290.69,15.19,0.36,98.0,AASP
Weighted DCA,7034.41,34.14,2.35,0.17,61.84,AAT
